-BEGIN HEADER-,,,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,,,
Dates (month/day/year): 10/01/2019 through 10/01/2025 in LST,,,,,,,,,
Location: Latitude  41.3981   Longitude 2.1538 ,,,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters,,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,
Parameter(s): ,,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) ,,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,,,
T2MWET                MERRA-2 Wet Bulb Temperature at 2 Meters (C) ,,,,,,,,,
-END HEADER-,,,,,,,,,
YEAR,MO,DY,HR,T2M,RH2M,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR,T2MWET
2019,10,1,0,17.63,99.33,2.2,0,0.08,17.57
2019,10,1,1,17.27,98.5,2.24,0,0.05,17.14
2019,10,1,2,17.24,94.84,2.11,0,0.04,16.79
2019,10,1,3,17.51,88.7,1.82,0,0.08,16.51
2019,10,1,4,17.72,83.23,1.55,0,0.1,16.17
2019,10,1,5,17.71,79.74,1.44,0,0.12,15.77
2019,10,1,6,18.09,78.52,1.47,64.53,0.15,16.01
2019,10,1,7,20.16,72.96,1.88,219.77,0.17,17.51
2019,10,1,8,22.01,68.11,2.72,387.77,0.19,18.84
2019,10,1,9,23.87,63.2,3.14,537.62,0.2,20.11
2019,10,1,10,25.35,58.78,3.4,628.45,0.2,20.98
2019,10,1,11,26.69,53.77,3.84,639.45,0.22,21.58
2019,10,1,12,27.62,49.71,4.19,662.53,0.21,21.85
2019,10,1,13,28.22,46.59,4.31,568.85,0.16,21.9
2019,10,1,14,28.38,44.77,4.45,448.65,0.12,21.74
2019,10,1,15,27.98,45.03,4.5,279.85,0.12,21.38
2019,10,1,16,26.61,50.43,3.93,107.97,0.08,20.95
2019,10,1,17,23.55,66.16,3.11,7.12,0.1,20.17
2019,10,1,18,21.8,74.32,2.98,0,0.11,19.36
2019,10,1,19,21.07,76.96,2.28,0,0.26,18.89
2019,10,1,20,21.25,75.61,0.58,0,0.56,18.93
2019,10,1,21,19.82,85.56,1.59,0,0.69,18.55
2019,10,1,22,18.97,95.37,2.91,0,0.58,18.59
2019,10,1,23,18.56,99.24,3.4,0,0.33,18.49
2019,10,2,0,18.59,95.31,3.65,0,0.33,18.21
2019,10,2,1,18.1,93.6,3.05,0,0.15,17.58
2019,10,2,2,17.84,92.33,2.42,0,0.08,17.22
2019,10,2,3,17.67,90.88,2.15,0,0.11,16.93
2019,10,2,4,17.33,89.59,2.07,0,0.15,16.48
2019,10,2,5,16.77,89.21,2.35,0,0.23,15.88
2019,10,2,6,16.87,83.94,2.83,62.1,0.24,15.49
2019,10,2,7,18.54,68.54,3.8,230.95,0.23,15.55
2019,10,2,8,20.57,51.9,3.86,413.17,0.14,15.37
2019,10,2,9,22.19,41.64,3.84,568.53,0.07,15.27
2019,10,2,10,23.54,37.24,3.55,664.9,0.04,15.77
2019,10,2,11,24.77,34.38,3.15,684.03,0.04,16.36
2019,10,2,12,25.76,32.21,2.54,658.17,0.02,16.82
2019,10,2,13,26.37,31.19,1.84,560.9,0.02,17.14
2019,10,2,14,26.3,34.31,1.38,449.27,0.02,17.65
2019,10,2,15,25.78,36.04,1.9,282.33,0.01,17.52
2019,10,2,16,24.45,39.44,2.86,110.38,0.01,17.02
2019,10,2,17,20.87,59.84,2.86,6.6,0.01,16.81
2019,10,2,18,18.86,71.15,2.84,0,0,16.17
2019,10,2,19,18.55,72.2,2.14,0,0.01,15.95
2019,10,2,20,18.26,71.07,1.43,0,0.02,15.52
2019,10,2,21,17.63,71.04,1.38,0,0,14.88
2019,10,2,22,17.13,70.12,1.4,0,0,14.27
2019,10,2,23,16.85,68.6,1.21,0,0,13.83
2019,10,3,0,16.59,68.15,1,0,0,13.54
2019,10,3,1,16.04,69.04,1.19,0,0.01,13.11
2019,10,3,2,15.38,70.57,1.48,0,0.03,12.62
2019,10,3,3,14.98,71.1,1.62,0,0.04,12.29
2019,10,3,4,14.75,71.32,1.85,0,0.05,12.11
2019,10,3,5,14.64,71.18,1.99,0,0.03,11.99
2019,10,3,6,14.98,69.38,1.83,56.42,0.02,12.13
2019,10,3,7,16.44,62.12,1.65,213.73,0.01,12.73
2019,10,3,8,18.74,48.53,1.05,369.45,0,13.1
2019,10,3,9,21.22,38.45,1.08,514,0,13.74
2019,10,3,10,23.02,32.72,1.32,617.05,0,14.28
2019,10,3,11,24.38,28.69,1.59,688.4,0,14.58
2019,10,3,12,25.34,26.49,2.16,663.97,0,14.88
2019,10,3,13,25.86,26.14,2.88,594.22,0,15.26
2019,10,3,14,25.83,27.31,3.39,476.38,0,15.52
2019,10,3,15,25.17,29.52,3.79,301.52,0,15.48
2019,10,3,16,23.68,35.7,3.98,119.2,0,15.48
2019,10,3,17,20.05,56.1,3.29,6.2,0,15.48
2019,10,3,18,18.21,68.33,3.28,0,0,15.23
2019,10,3,19,17.41,75.97,3.1,0,0,15.27
2019,10,3,20,16.7,83.69,2.92,0,0,15.33
2019,10,3,21,16.16,89.37,2.75,0,0,15.3
2019,10,3,22,15.77,93.55,2.61,0,0,15.26
2019,10,3,23,15.54,95.55,2.49,0,0,15.19
2019,10,4,0,15.75,94.18,2.39,0,0,15.3
2019,10,4,1,15.95,93.3,2.43,0,0.02,15.42
2019,10,4,2,16.03,93.48,2.53,0,0.06,15.51
2019,10,4,3,16.06,94.24,2.63,0,0.08,15.61
2019,10,4,4,16.04,95.14,2.63,0,0.06,15.66
2019,10,4,5,16.03,95.98,2.56,0,0.02,15.72
2019,10,4,6,16.65,93.11,2.29,61.47,0.01,16.1
2019,10,4,7,18.92,80.6,2.93,224,0.01,17.23
2019,10,4,8,20.3,72.23,2.75,400.2,0.01,17.73
2019,10,4,9,21.68,65.69,2.65,552.35,0,18.34
2019,10,4,10,22.98,60.06,2.89,616.3,0,18.9
2019,10,4,11,23.94,56.02,3.36,649.65,0,19.29
2019,10,4,12,24.57,53.19,3.75,655.5,0,19.49
2019,10,4,13,24.93,51.19,3.98,586.65,0,19.54
2019,10,4,14,24.99,49.89,4.09,449.42,0,19.39
2019,10,4,15,24.66,50.25,4.34,281.2,0,19.12
2019,10,4,16,23.66,54.09,4.53,105.78,0,18.71
2019,10,4,17,20.97,67.9,3.61,5.07,0,17.88
2019,10,4,18,19.25,77.22,3.29,0,0,17.2
2019,10,4,19,18.47,82.21,2.95,0,0,16.92
2019,10,4,20,17.95,85.81,2.68,0,0,16.74
2019,10,4,21,18.07,85.57,1.94,0,0,16.84
2019,10,4,22,18.41,83.64,0.64,0,0,17
2019,10,4,23,17.69,87.52,0.86,0,0,16.65
2019,10,5,0,16.93,93.03,1.74,0,0,16.38
2019,10,5,1,16.49,97.64,2.21,0,0.01,16.31
2019,10,5,2,16.6,98.33,2.38,0,0.01,16.48
2019,10,5,3,16.8,97.8,2.42,0,0.01,16.63
2019,10,5,4,16.81,98.06,2.5,0,0.01,16.67
2019,10,5,5,16.82,97.68,2.61,0,0.03,16.64
2019,10,5,6,17.31,93.94,2.6,37.33,0.09,16.82
2019,10,5,7,18.95,84.01,3.59,137.5,0.16,17.57
2019,10,5,8,20.03,78.58,3.99,245.73,0.15,18.12
2019,10,5,9,21.33,71.69,4.17,366.08,0.12,18.67
2019,10,5,10,22.01,67.72,4.32,424.7,0.11,18.9
2019,10,5,11,22.65,64.45,4.47,490.27,0.1,19.14
2019,10,5,12,23,62.29,4.69,492.27,0.09,19.21
2019,10,5,13,23.13,61.17,4.94,460.27,0.05,19.2
2019,10,5,14,22.92,61.71,5.14,348.27,0.02,19.06
2019,10,5,15,22.3,64.18,5.16,214.48,0.02,18.76
2019,10,5,16,21.18,69.12,4.97,79.4,0.01,18.25
2019,10,5,17,19.22,79.18,4.05,3.67,0,17.38
2019,10,5,18,17.6,88.84,2.68,0,0,16.67
2019,10,5,19,16.78,93.71,1.94,0,0,16.28
2019,10,5,20,16.65,93.87,1.46,0,0,16.17
2019,10,5,21,16.81,92.37,1.1,0,0,16.2
2019,10,5,22,16.98,91.06,0.83,0,0,16.26
2019,10,5,23,16.99,90.68,0.59,0,0,16.23
2019,10,6,0,16.86,91.28,0.55,0,0,16.15
2019,10,6,1,16.74,92.12,0.77,0,0,16.11
2019,10,6,2,16.64,93.17,1.05,0,0.01,16.1
2019,10,6,3,16.63,93.79,1.18,0,0.01,16.14
2019,10,6,4,16.52,94.54,1.31,0,0.01,16.09
2019,10,6,5,16.37,95.45,1.51,0,0.01,16.01
2019,10,6,6,16.64,94.01,1.62,25.38,0.02,16.17
2019,10,6,7,18.4,85.48,2.77,113.7,0.05,17.17
2019,10,6,8,19.95,78.02,3.48,203.15,0.04,17.99
2019,10,6,9,21.25,71.59,3.96,289.58,0.04,18.58
2019,10,6,10,21.66,69.03,4.01,345.1,0.05,18.7
2019,10,6,11,21.93,66.53,3.88,361.75,0.04,18.68
2019,10,6,12,22.85,61.42,3.66,441.75,0.04,18.95
2019,10,6,13,23.53,57.13,3.95,412.52,0.04,19.04
2019,10,6,14,23.91,54.02,4.09,264.9,0.02,18.96
2019,10,6,15,23.94,51.22,3.86,156.93,0.01,18.57
2019,10,6,16,23.28,52.86,3.54,52.83,0,18.16
2019,10,6,17,20.52,67.43,3.32,2.55,0,17.39
2019,10,6,18,19.26,75.58,3.08,0,0,17.05
2019,10,6,19,18.8,80.04,2.47,0,0,17.04
2019,10,6,20,18.31,85.08,1.87,0,0.01,17.05
2019,10,6,21,17.93,88.08,1.42,0,0.02,16.94
2019,10,6,22,17.61,90.29,2.01,0,0.03,16.82
2019,10,6,23,16.7,96.31,2.57,0,0.03,16.42
2019,10,7,0,16.51,95.67,2.65,0,0.03,16.15
2019,10,7,1,16.57,89.08,1.91,0,0.02,15.62
2019,10,7,2,15.29,86.67,1.62,0,0.02,14.1
2019,10,7,3,14.62,79.25,2.37,0,0.02,12.75
2019,10,7,4,14.29,72.46,3.07,0,0.01,11.78
2019,10,7,5,14.11,68.47,3.34,0,0,11.21
2019,10,7,6,14.16,66.82,3.36,49.92,0,11.1
2019,10,7,7,15.71,59.27,4.13,209.7,0,11.71
2019,10,7,8,17.3,50.33,4.09,381.45,0,12.05
2019,10,7,9,19.01,41.79,3.84,529.03,0,12.33
2019,10,7,10,20.26,36.01,3.44,626.12,0,12.43
2019,10,7,11,21.39,31.56,3.17,662.03,0,12.53
2019,10,7,12,23.04,26.8,2.72,554.22,0,12.91
2019,10,7,13,24.35,23.21,1.96,513.55,0,13.08
2019,10,7,14,25.03,21.78,0.96,366.62,0,13.23
2019,10,7,15,24.96,23.95,0.9,244.07,0,13.69
2019,10,7,16,23.32,34.3,2.08,104.15,0,14.89
2019,10,7,17,19.18,55.8,3.18,0,0,14.66
2019,10,7,18,17.54,65.82,3.4,0,0,14.3
2019,10,7,19,16.83,72.4,3.27,0,0,14.34
2019,10,7,20,16.4,74.2,2.99,0,0,14.1
2019,10,7,21,16.08,74.3,2.69,0,0,13.81
2019,10,7,22,15.89,74,2.5,0,0,13.59
2019,10,7,23,15.73,73.61,2.45,0,0,13.39
2019,10,8,0,15.59,73.66,2.42,0,0,13.26
2019,10,8,1,15.46,74.27,2.38,0,0,13.19
2019,10,8,2,15.32,75.38,2.39,0,0,13.17
2019,10,8,3,15.17,76.75,2.45,0,0,13.15
2019,10,8,4,14.99,78.3,2.53,0,0,13.12
2019,10,8,5,14.83,80.03,2.7,0,0,13.14
2019,10,8,6,15.4,79.12,2.71,50.53,0,13.62
2019,10,8,7,18.49,68.29,3.76,200.95,0,15.52
2019,10,8,8,20.73,60.58,5.01,366.75,0,16.8
2019,10,8,9,22.28,57.42,5.29,508.65,0,17.88
2019,10,8,10,23.39,55.57,5.51,616.62,0,18.7
2019,10,8,11,24.2,54.4,5.76,647.85,0,19.31
2019,10,8,12,24.75,53.84,5.91,633.62,0,19.76
2019,10,8,13,25.06,53.99,5.85,552.97,0,20.07
2019,10,8,14,25.06,54.74,5.69,423.73,0,20.17
2019,10,8,15,24.71,56.06,5.49,256.3,0,20.01
2019,10,8,16,23.74,59.73,5.17,90.05,0,19.56
2019,10,8,17,21.14,72.62,4.06,0,0,18.56
2019,10,8,18,19.71,81.45,3.98,0,0,18.06
2019,10,8,19,18.81,89.25,3.6,0,0,17.89
2019,10,8,20,18.03,95.85,3.19,0,0.02,17.69
2019,10,8,21,17.51,99.61,2.92,0,0.02,17.48
2019,10,8,22,17.16,100,2.69,0,0.02,17.29
2019,10,8,23,16.95,100,2.54,0,0.03,17.17
2019,10,9,0,16.87,100,2.45,0,0.05,17.1
2019,10,9,1,16.98,100,2.35,0,0.06,17.14
2019,10,9,2,17.2,100,2.28,0,0.08,17.21
2019,10,9,3,17.33,98.72,2.23,0,0.09,17.23
2019,10,9,4,17.4,98.2,2.11,0,0.12,17.26
2019,10,9,5,17.49,97.4,1.98,0,0.12,17.29
2019,10,9,6,17.73,95.87,1.99,44.38,0.15,17.4
2019,10,9,7,19.56,86.4,2.6,159.48,0.26,18.4
2019,10,9,8,21.14,77.27,3.46,278.98,0.27,19.08
2019,10,9,9,22.48,69.76,3.74,388,0.33,19.59
2019,10,9,10,23.58,64.61,4.05,403.92,0.29,20.07
2019,10,9,11,24.45,60.43,4.32,360.1,0.28,20.38
2019,10,9,12,25.03,56.98,4.18,303.83,0.2,20.48
2019,10,9,13,25.35,54.83,3.85,203.62,0.16,20.48
2019,10,9,14,25.41,54.14,3.56,147.12,0.1,20.43
2019,10,9,15,24.79,56.02,3.45,85.57,0.11,20.1
2019,10,9,16,23.27,62.81,4.02,31.42,0.19,19.52
2019,10,9,17,21.02,75.92,5.13,0,0.34,18.82
2019,10,9,18,19.21,86.62,6.24,0,0.29,18.08
2019,10,9,19,18.01,90.29,6.6,0,0.42,17.2
2019,10,9,20,17.13,90.65,6.37,0,0.47,16.34
2019,10,9,21,16.55,89.61,5.58,0,0.39,15.67
2019,10,9,22,16.32,88.19,4.64,0,0.32,15.32
2019,10,9,23,16.26,87.35,3.97,0,0.3,15.18
2019,10,10,0,16.2,87.09,3.65,0,0.31,15.11
2019,10,10,1,16.08,87.14,3.4,0,0.3,15
2019,10,10,2,16.01,87.34,3.18,0,0.35,14.95
2019,10,10,3,15.93,87.71,2.78,0,0.34,14.9
2019,10,10,4,15.86,88.21,2.53,0,0.29,14.88
2019,10,10,5,15.81,88.69,2.55,0,0.21,14.87
2019,10,10,6,16.07,88.02,2.81,14.77,0.18,15.07
2019,10,10,7,17.2,83.32,3.79,73.9,0.17,15.77
2019,10,10,8,18.25,78.63,4.08,134.4,0.17,16.36
2019,10,10,9,19.27,73.72,4.01,209.77,0.16,16.87
2019,10,10,10,20.44,67.72,3.85,299.1,0.12,17.36
2019,10,10,11,21.16,63.83,3.75,365.08,0.09,17.6
2019,10,10,12,21.73,60.94,3.75,337.17,0.06,17.79
2019,10,10,13,21.99,59.06,3.72,319.5,0.04,17.79
2019,10,10,14,22.39,56.69,3.74,267.65,0.02,17.86
2019,10,10,15,22.19,56.77,3.99,167.05,0.01,17.67
2019,10,10,16,21.11,61.76,4.27,59.83,0,17.27
2019,10,10,17,18.64,76.15,3.57,0,0,16.49
2019,10,10,18,17.23,86.79,3.28,0,0,16.12
2019,10,10,19,16.37,94.4,2.77,0,0,15.93
2019,10,10,20,15.88,98.32,2.42,0,0,15.76
2019,10,10,21,16.08,97.18,2.03,0,0,15.87
2019,10,10,22,16.43,95.29,1.64,0,0,16.05
2019,10,10,23,16.71,93.59,1.29,0,0,16.21
2019,10,11,0,16.9,92.28,0.94,0,0,16.28
2019,10,11,1,16.97,91.53,0.61,0,0.01,16.28
2019,10,11,2,16.79,91.89,0.42,0,0.01,16.13
2019,10,11,3,16.54,92.26,0.21,0,0.01,15.91
2019,10,11,4,16.34,91.93,0.34,0,0.01,15.68
2019,10,11,5,16.14,91.15,0.5,0,0.02,15.39
2019,10,11,6,16.26,87.85,0.66,30.2,0.04,15.19
2019,10,11,7,17.49,81.44,0.88,133.2,0.05,15.8
2019,10,11,8,19.25,78.99,1.48,261.15,0.06,17.35
2019,10,11,9,20.95,75.21,3.09,376.88,0.07,18.66
2019,10,11,10,22.32,71.23,4.19,495.8,0.06,19.58
2019,10,11,11,23.58,66.49,4.74,541.55,0.06,20.28
2019,10,11,12,24.52,62.69,5.17,495.3,0.06,20.73
2019,10,11,13,24.86,61.18,5.52,453.1,0.04,20.86
2019,10,11,14,24.68,61.51,5.68,353.45,0.03,20.73
2019,10,11,15,24.04,63.68,5.62,210.75,0.01,20.39
2019,10,11,16,22.82,68.88,5.33,69.47,0,19.82
2019,10,11,17,20.58,80.05,4.05,0,0,18.81
2019,10,11,18,19.19,88.64,3.55,0,0,18.24
2019,10,11,19,18.44,94.25,2.95,0,0,17.98
2019,10,11,20,17.9,98.12,2.35,0,0.01,17.76
2019,10,11,21,17.9,98.21,2.02,0,0,17.77
2019,10,11,22,18.03,97.41,1.81,0,0,17.84
2019,10,11,23,18.03,97.24,1.59,0,0.02,17.81
2019,10,12,0,18.19,96.48,1.47,0,0.02,17.92
2019,10,12,1,18.21,96.47,1.43,0,0.04,17.93
2019,10,12,2,18.18,96.91,1.45,0,0.05,17.93
2019,10,12,3,18.09,97.51,1.66,0,0.04,17.9
2019,10,12,4,17.9,98.83,1.96,0,0.04,17.81
2019,10,12,5,17.92,99,2.16,0,0.03,17.85
2019,10,12,6,18.1,98.28,2.28,24.62,0.02,17.97
2019,10,12,7,19.45,91,2.98,111.72,0.02,18.71
2019,10,12,8,20.33,84.97,3.37,218.7,0.02,19.04
2019,10,12,9,21.41,77.93,3.41,305.73,0.02,19.41
2019,10,12,10,22.28,72.73,3.43,413.88,0.01,19.72
2019,10,12,11,22.93,69.22,3.39,516.3,0,19.98
2019,10,12,12,23.44,66.58,3.46,514.2,0,20.17
2019,10,12,13,24.07,63.49,3.75,459.75,0,20.4
2019,10,12,14,23.91,63.19,4.21,337.73,0,20.21
2019,10,12,15,22.83,67.1,4.43,197.27,0,19.63
2019,10,12,16,21.46,73.72,4.35,61.42,0,19.02
2019,10,12,17,20.09,81.94,3.71,0,0,18.51
2019,10,12,18,19.28,88.22,3.35,0,0,18.28
2019,10,12,19,18.84,91.98,3.15,0,0,18.18
2019,10,12,20,18.49,94.85,3.02,0,0,18.07
2019,10,12,21,18.14,97.12,2.82,0,0,17.9
2019,10,12,22,17.94,98.64,2.85,0,0.02,17.83
2019,10,12,23,17.77,100,2.86,0,0.02,17.76
2019,10,13,0,17.68,100,2.9,0,0.61,17.74
2019,10,13,1,17.6,100,2.81,0,0.81,17.68
2019,10,13,2,17.48,100,2.71,0,0.8,17.6
2019,10,13,3,17.4,100,2.72,0,0.67,17.52
2019,10,13,4,17.32,100,2.73,0,0.65,17.46
2019,10,13,5,17.17,100,2.71,0,0.52,17.38
2019,10,13,6,17.38,100,2.59,30.05,0.41,17.49
2019,10,13,7,19.33,90.76,3.26,138.9,0.35,18.56
2019,10,13,8,20.69,81.53,3.39,266.77,0.42,19.05
2019,10,13,9,21.79,74.43,3.36,406.52,0.33,19.41
2019,10,13,10,22.96,68.26,3.59,513.5,0.28,19.87
2019,10,13,11,23.79,63.79,3.99,536.03,0.23,20.14
2019,10,13,12,24.16,61.85,4.37,556.1,0.24,20.25
2019,10,13,13,24.12,61.76,4.67,466.17,0.26,20.2
2019,10,13,14,23.58,64.43,4.88,345.77,0.25,20.02
2019,10,13,15,22.65,69.28,4.9,199.15,0.27,19.68
2019,10,13,16,21.28,77.4,4.76,58.7,0.29,19.22
2019,10,13,17,19.6,89.07,3.88,0,0.38,18.67
2019,10,13,18,19.12,93.4,3.92,0,2.07,18.58
2019,10,13,19,18.97,94.28,3.89,0,2.11,18.49
2019,10,13,20,18.82,95.33,3.86,0,1.99,18.43
2019,10,13,21,18.68,96.6,3.78,0,1.62,18.39
2019,10,13,22,18.6,97.21,3.69,0,1.54,18.36
2019,10,13,23,18.48,97.77,3.36,0,1.64,18.29
2019,10,14,0,18.33,98.51,3.1,0,1.73,18.21
2019,10,14,1,18.2,98.99,3.08,0,1.32,18.11
2019,10,14,2,18.07,99.38,3.16,0,1.12,18.02
2019,10,14,3,17.86,99.76,3.22,0,1.18,17.83
2019,10,14,4,17.88,99.16,3.19,0,1.33,17.81
2019,10,14,5,17.83,99.15,3.22,0,1.38,17.76
2019,10,14,6,17.96,98.25,3.34,28.98,1.25,17.82
2019,10,14,7,19.3,92.63,4.43,137.02,1.19,18.68
2019,10,14,8,20.08,87.66,4.72,265.92,1.43,19.03
2019,10,14,9,21.19,81.12,4.57,373.8,1.28,19.52
2019,10,14,10,22.08,75.29,4.21,418.23,1.38,19.79
2019,10,14,11,22.3,73.35,3.53,507.4,1.56,19.79
2019,10,14,12,22.19,73.4,2.89,493.42,2.55,19.7
2019,10,14,13,21.67,75.59,2.64,384.88,2.92,19.42
2019,10,14,14,21.32,78.39,2.55,270.52,6.35,19.36
2019,10,14,15,20.9,81.63,2.6,150.15,4.42,19.26
2019,10,14,16,20.11,88.18,2.14,38.35,3.45,19.09
2019,10,14,17,18.64,97.42,2.02,0,4.28,18.42
2019,10,14,18,18.46,99.68,2.17,0,16.08,18.42
2019,10,14,19,18.45,99.93,2.25,0,21.8,18.44
2019,10,14,20,18.21,100,2.23,0,26.4,18.27
2019,10,14,21,17.9,100,2.35,0,29.92,17.97
2019,10,14,22,17.57,100,3.16,0,35.74,17.58
2019,10,14,23,17.56,94.72,5.76,0,18.57,17.12
2019,10,15,0,15.65,88.8,7.68,0,2.42,14.72
2019,10,15,1,13.76,87.04,7.62,0,8.66,12.71
2019,10,15,2,12.89,87.96,7.49,0,3.62,11.92
2019,10,15,3,12.1,89.37,7.31,0,0.19,11.24
2019,10,15,4,11.57,90.54,7.55,0,0.1,10.81
2019,10,15,5,11.29,90.64,7.75,0,0.04,10.54
2019,10,15,6,11.09,89.9,7.62,37.2,0.01,10.29
2019,10,15,7,12.16,82.73,7.75,202.32,0.01,10.73
2019,10,15,8,14.6,67.53,7.92,376.92,0.01,11.61
2019,10,15,9,17.02,51.84,7.83,527.1,0.01,12.01
2019,10,15,10,18.53,43.48,7.51,629.75,0.01,12.16
2019,10,15,11,19.51,39.94,7.14,665.9,0,12.47
2019,10,15,12,20.24,38.29,6.64,631.8,0,12.85
2019,10,15,13,20.67,37.21,6.05,543,0,13.07
2019,10,15,14,20.64,37.15,5.62,418,0,13.04
2019,10,15,15,20.11,38.39,5.42,241.35,0,12.79
2019,10,15,16,18.83,43.25,4.4,65.32,0,12.43
2019,10,15,17,15.71,57.29,3.27,0,0,11.5
2019,10,15,18,14.7,60.52,3.23,0,0,10.93
2019,10,15,19,14.48,61.82,3.08,0,0,10.87
2019,10,15,20,13.76,64.32,2.94,0,0,10.46
2019,10,15,21,12.78,67.11,2.89,0,0,9.81
2019,10,15,22,12.4,68.37,2.84,0,0,9.57
2019,10,15,23,11.88,69.5,2.87,0,0,9.17
2019,10,16,0,11.46,70.29,2.93,0,0,8.84
2019,10,16,1,11.34,70.72,2.98,0,0,8.75
2019,10,16,2,11.56,70.48,3.02,0,0,8.95
2019,10,16,3,11.11,71.06,3.13,0,0,8.56
2019,10,16,4,10.97,71.25,3.08,0,0,8.44
2019,10,16,5,10.73,71.41,2.98,0,0,8.21
2019,10,16,6,10.81,71.16,2.85,31.08,0,8.26
2019,10,16,7,13.78,61.04,2.9,182.62,0,10.03
2019,10,16,8,16.28,50.97,3.59,353.2,0,11.12
2019,10,16,9,18.88,44.48,5.16,502.83,0,12.61
2019,10,16,10,20.27,40.99,5.76,585.08,0,13.33
2019,10,16,11,21.22,38.14,5.72,632.05,0,13.7
2019,10,16,12,21.87,36.02,5.55,610.5,0,13.9
2019,10,16,13,22.15,34.96,5.38,524.85,0,13.96
2019,10,16,14,22.11,34.79,5.13,384.73,0,13.89
2019,10,16,15,21.58,36.34,4.85,218.48,0,13.71
2019,10,16,16,20.03,44.51,3.72,55.97,0,13.72
2019,10,16,17,16.85,60.21,3.34,0,0,12.94
2019,10,16,18,15.86,64.86,3.47,0,0,12.51
2019,10,16,19,15.27,68.56,3.44,0,0,12.32
2019,10,16,20,14.73,71.76,3.38,0,0,12.12
2019,10,16,21,14.29,74.14,3.33,0,0,11.93
2019,10,16,22,13.9,75.84,3.27,0,0,11.73
2019,10,16,23,13.54,77.04,3.21,0,0,11.49
2019,10,17,0,13.25,77.68,3.05,0,0,11.24
2019,10,17,1,13.13,77.33,2.69,0,0,11.07
2019,10,17,2,13.26,76.21,2.22,0,0,11.05
2019,10,17,3,13.48,75.09,1.73,0,0,11.11
2019,10,17,4,13.57,74.76,1.39,0,0,11.12
2019,10,17,5,13.59,74.97,1.17,0,0,11.14
2019,10,17,6,13.72,75.55,0.93,33.4,0,11.32
2019,10,17,7,15.54,72.25,0.74,184.48,0,12.85
2019,10,17,8,18.02,64.7,1.48,357.1,0,14.48
2019,10,17,9,20.3,60.58,3.5,501.7,0,16.29
2019,10,17,10,21.69,54.16,3.75,585.05,0,16.76
2019,10,17,11,22.71,48.78,3.77,624.12,0,16.93
2019,10,17,12,23.42,44.58,3.77,591.7,0,16.91
2019,10,17,13,23.8,41.32,3.69,510.65,0,16.69
2019,10,17,14,23.82,39.56,3.61,371.83,0,16.38
2019,10,17,15,22.94,41.77,3.45,201.5,0,15.97
2019,10,17,16,20.72,56.07,2.62,46.2,0,16.14
2019,10,17,17,18.83,62.15,2.86,0,0,15.1
2019,10,17,18,17.46,64.18,3.09,0,0,14
2019,10,17,19,16.5,65.49,3.11,0,0,13.21
2019,10,17,20,15.93,66.38,3.11,0,0,12.76
2019,10,17,21,15.46,67.62,3.26,0,0.01,12.45
2019,10,17,22,15.04,69.11,3.47,0,0.01,12.18
2019,10,17,23,14.69,71.05,3.66,0,0,12.05
2019,10,18,0,14.41,73.75,3.75,0,0,12.05
2019,10,18,1,14.12,76.88,3.79,0,0,12.08
2019,10,18,2,13.96,79.82,3.91,0,0,12.2
2019,10,18,3,13.84,82.3,3.65,0,0,12.33
2019,10,18,4,13.84,83.68,3.28,0,0,12.46
2019,10,18,5,14.02,83.68,2.95,0,0.02,12.65
2019,10,18,6,14.18,83.81,2.79,17.75,0.19,12.81
2019,10,18,7,16.67,75.4,2.75,99.2,0.88,14.48
2019,10,18,8,18.43,67.55,2.98,183.88,0.7,15.37
2019,10,18,9,19.58,63.48,3.19,279.85,0.46,16.02
2019,10,18,10,20.06,62.66,3,341.17,1.44,16.4
2019,10,18,11,21.58,59.33,3.29,432.17,1.1,17.46
2019,10,18,12,23.05,56.26,4.1,505.35,0.59,18.47
2019,10,18,13,23.48,55.38,4.5,368.92,0.26,18.76
2019,10,18,14,23.4,55.62,4.54,270.58,0.1,18.71
2019,10,18,15,22.42,58.67,4.16,149.73,0.05,18.16
2019,10,18,16,20.63,68.27,2.43,38.08,0.01,17.61
2019,10,18,17,19.16,72.79,2.27,0,0,16.66
2019,10,18,18,18.46,75.32,2.43,0,0,16.23
2019,10,18,19,17.9,78.1,2.36,0,0,15.95
2019,10,18,20,17.42,79.65,2.06,0,0,15.61
2019,10,18,21,17.12,78.7,1.73,0,0,15.2
2019,10,18,22,17.02,78.79,1.78,0,0.01,15.11
2019,10,18,23,16.86,80.95,1.84,0,0.07,15.14
2019,10,19,0,16.8,84.07,1.83,0,0.14,15.36
